,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6030,Sean,within an hour,100%,96%,,2.0,2.0,"['email', 'phone']",t,Mission,Entire home/apt,8,1.0,3.0,5.0,$543.00,1,29,1.0,2.0,29.0,29.0,1.3,29.0,t,25,55,85,172,106,16,0,172,16,176,95568.0,4.93,4.91,4.91,4.9,4.92,4.87,4.62,f,1,1,0,0,2.17
6031,Ac,,,,f,1.0,2.0,"['email', 'phone', 'work_email']",t,Downtown/Civic Center,Entire home/apt,2,1.0,1.0,1.0,$175.00,30,80,30.0,30.0,80.0,80.0,30.0,80.0,t,30,60,90,365,78,0,0,305,0,0,0.0,4.8,4.7,4.71,4.94,4.99,4.9,4.63,f,1,1,0,0,0.47
6032,Club Quarters San Francisco,within an hour,100%,98%,f,1.0,10.0,"['email', 'phone']",t,Financial District,Private room,2,1.0,1.0,1.0,$182.00,1,28,1.0,1.0,731.0,731.0,1.0,731.0,t,27,54,83,340,53,11,0,294,14,121,22022.0,4.49,4.57,4.53,4.7,4.32,4.77,4.4,t,1,0,1,0,1.03
6033,Jess,within an hour,100%,100%,t,2.0,2.0,"['email', 'phone']",t,South of Market,Entire home/apt,5,2.0,2.0,3.0,$305.00,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,16,17,281,20,9,1,222,8,255,77775.0,5.0,5.0,4.95,5.0,5.0,4.75,4.9,f,1,1,0,0,0.5
6034,Raymond,within a day,100%,0%,f,1.0,1.0,"['email', 'phone']",f,Lakeshore,Entire home/apt,8,2.0,4.0,4.0,$750.00,5,7,5.0,5.0,7.0,7.0,5.0,7.0,t,30,60,87,262,0,0,0,262,0,0,0.0,,,,,,,,f,1,1,0,0,
6035,Sarah,within an hour,100%,100%,t,2.0,2.0,"['email', 'phone', 'work_email']",t,Mission,Entire home/apt,4,2.0,1.0,2.0,$230.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,24,54,84,359,2,0,0,299,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.03
6036,Mags,,,,f,1.0,1.0,"['email', 'phone']",t,Excelsior,Entire home/apt,5,1.0,2.0,3.0,$153.00,1,60,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,19,49,79,353,242,18,0,294,18,198,30294.0,4.84,4.89,4.91,4.96,4.93,4.58,4.69,f,1,1,0,0,2.98
6037,Val,,,67%,t,1.0,10.0,['phone'],t,Mission,Entire home/apt,3,1.0,1.0,2.0,$146.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,0,0,43,0,0,0,43,0,0,0.0,,,,,,,,f,1,1,0,0,
6038,Brad,within an hour,100%,100%,t,1.0,1.0,"['email', 'phone']",t,Western Addition,Entire home/apt,6,,2.0,,,4,112,4.0,4.0,112.0,112.0,4.0,112.0,t,0,0,0,0,44,16,1,0,13,176,,4.98,4.91,4.91,4.98,5.0,4.95,4.8,f,1,1,0,0,0.42
6039,Jenna,a few days or more,29%,35%,f,11.0,15.0,"['email', 'phone']",t,Downtown/Civic Center,Entire home/apt,4,1.0,0.0,2.0,$250.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,t,25,50,79,79,5,5,0,79,5,55,13750.0,4.8,4.8,5.0,5.0,4.8,4.6,4.2,f,1,1,0,0,0.7
